"index";"series_name";"network";"season";"title";"imdb";"engagement";"date_aired";"run_time";"format";"monster_name";"monster_gender";"monster_type";"monster_subtype";"monster_species";"monster_real";"monster_amount";"trap_work_first";"setting_terrain";"setting_country_state";"suspects_amount";"culprit_gender";"motive";"door_gag";"number_of_snacks";"split_up";"another_mystery";"set_a_trap";"jeepers";"jinkies";"my_glasses";"just_about_wrapped_up";"zoinks";"groovy";"scooby_doo_where_are_you";"rooby_rooby_roo";"caught_by";"captured";"unmasked";"guest_stars"
590;"Scooby-Doo and Guess Who?";"Boomerang";"2";"The Hot Dog Dog!";0.0;0;"2020-10-01";22;"TV Series";"Gnarled One";"Male";"Plant";"Living";"Tree";"FALSE";1;"TRUE";"Urban";"Illinois";4;"Male";"Competition";"FALSE";"0";0;0;1;0;0;0;1;1;0;0;1;"Fred";"";"Velma";""
591;"Scooby-Doo and Guess Who?";"Boomerang";"2";"A Moveable Mystery!";0.0;0;"2020-10-01";22;"TV Series";"Gargoyle";"Male";"Possessed Object";"Statue";"Gargoyle";"FALSE";1;"FALSE";"Urban";"France";5;"Male";"Theft";"TRUE";"0";0;0;0;2;2;1;0;1;0;0;0;"Fred, Other";"";"";""
592;"Scooby-Doo and Guess Who?";"Boomerang";"2";"The Feast of Dr. Frankenfooder!";0.0;0;"2020-10-01";22;"TV Series";"Frankenfooder Monster";"Male";"Possessed Object";"Humanoid";"Fruit";"FALSE";1;"FALSE";"Forest";"Germany";3;"Male";"Competition";"FALSE";"0";1;1;0;0;3;0;0;0;0;0;1;"Scooby";"";"Velma";""
593;"Scooby-Doo and Guess Who?";"Boomerang";"2";"A Fashion Nightmare";0.0;0;"2020-10-01";22;"TV Series";"Elevator Operator Ghost";"Male";"Ghost";"Ghost";"Human";"FALSE";1;"TRUE";"Urban";"United States";5;"Female";"Theft";"TRUE";"0";1;0;0;1;0;0;0;2;0;0;0;"Other";"";"Fred";""
594;"Scooby-Doo and Guess Who?";"Boomerang";"2";"Scooby on Ice!";0.0;0;"2020-10-01";22;"TV Series";"Snow Devil";"Male";"Animal";"Yeti";"Yeti";"FALSE";1;"FALSE";"Snow";"Austria";4;"Male";"Natural Resource";"TRUE";"0";0;0;0;0;1;0;1;0;0;0;1;"Other";"";"Other";""
595;"Scooby-Doo and Guess Who?";"Boomerang";"2";"Caveman on the Half-Pipe";0.0;0;"2020-10-01";22;"TV Series";"Caveman";"Male";"Ancient";"Caveman";"Human";"FALSE";1;"";"Mountain";"Colorado";4;"Male";"Treasure";"FALSE";"0";1;0;0;2;4;1;0;1;0;0;1;"Other";"";"Other";""
596;"Scooby-Doo and Guess Who?";"Boomerang";"2";"The Crown Jewel of Boxing!";0.0;0;"2020-10-01";22;"TV Series";"Robot";"Male";"Mechanical";"Robot";"Robot";"FALSE";1;"TRUE";"Urban";"Kentucky";2;"Male";"Treasure";"FALSE";"0";0;0;0;1;0;0;0;0;0;0;0;"Other";"";"";""
597;"Scooby-Doo and Guess Who?";"Boomerang";"2";"The Internet on Haunted House Hill!";0.0;0;"2020-10-01";22;"TV Series";"Ghost of Charles M. Thraber";"Male";"Ghost";"Ghost";"Human";"FALSE";1;"FALSE";"Rural";"United States";3;"Male";"Treasure";"TRUE";"0";0;0;0;2;1;0;0;0;0;0;1;"Fred";"";"Fred";""
598;"Scooby-Doo and Guess Who?";"Boomerang";"2";"The 7th Inning Scare!";0.0;0;"2020-10-01";22;"TV Series";"Zombie Mascot";"Male";"Undead";"Zombie";"Yak";"FALSE";1;"TRUE";"Urban";"Washington";3;"Male,Male";"Entertainment";"FALSE";"0";0;0;0;2;0;0;0;3;0;0;0;"Velma";"";"";""
599;"Scooby-Doo and Guess Who?";"Boomerang";"2";"The Dreaded Remake of Jekyll & Hyde!";0.0;0;"2020-10-01";22;"TV Series";"Hyde Monster, Mummy, Dinosaur, Giant Manta Ray";"Male, Male, Male, Male";"Disguised, Undead, Animal, Animal";"Split-Personality, Mummy, Dinosaur, Giant";"Human, Human, Dinosaur, Manta Ray";"FALSE";4;"TRUE";"Urban";"California";6;"Female";"Theft";"TRUE";"0";0;0;0;1;1;0;0;3;0;0;0;"Daphnie";"";"Other";""
